"id","const"
0,"PorUnicaOcasión" 
1,"EnConsecuencia" 
2,"Diario" 
3,"Lunes" 
4,"Martes" 
5,"Miercoles" 
6,"Jueves" 
7,"Viernes" 
8,"Sabado" 
9,"Domingo" 
10,"PrimerDiaCadaMes" 
11,"Dia2CadaMes" 
12,"Dia3CadaMes" 
13,"Dia4CadaMes" 
14,"Dia5CadaMes" 
15,"Dia6CadaMes" 
16,"Dia7CadaMes" 
17,"Dia8CadaMes" 
18,"Dia9CadaMes" 
19,"Dia10CadaMes" 
20,"Dia11CadaMes" 
21,"Dia12CadaMes" 
22,"Dia13CadaMes" 
23,"Dia14CadaMes" 
24,"Dia15CadaMes" 
25,"Dia16CadaMes" 
26,"Dia17CadaMes" 
27,"Dia18CadaMes" 
28,"Dia19CadaMes" 
29,"Dia20CadaMes" 
30,"Dia21CadaMes" 
31,"Dia22CadaMes" 
32,"Dia23CadaMes" 
33,"Dia24CadaMes" 
34,"Dia25CadaMes" 
35,"Dia26CadaMes" 
36,"Dia27CadaMes" 
37,"Dia28CadaMes" 
38,"UltimoDiaCadaMes" 
39,"MismoDiaCadaMesDesdePrimeraEjecucion" 
40,"Cada15DíasDesdePrimeraEjecucion" 
41,"CadaMesAPartirDePrimeraEjecucion" 
42,"Cada2MesesAPartirDePrimeraEjecucion" 
43,"Cada3MesesAPartirDePrimeraEjecucion" 
44,"Cada4MesesAPartirDePrimeraEjecucion" 
45,"Cada6MesesAPartirDePrimeraEjecucion" 
46,"CadaAnioAPartirDePrimeraEjecucion" 
